Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
01 Andalucía;Ambos sexos;2021;81,49
01 Andalucía;Ambos sexos;2020;81,54
01 Andalucía;Ambos sexos;2019;82,22
01 Andalucía;Ambos sexos;2018;81,76
01 Andalucía;Ambos sexos;2017;81,83
01 Andalucía;Ambos sexos;2016;81,85
01 Andalucía;Ambos sexos;2015;81,37
01 Andalucía;Ambos sexos;2014;81,72
01 Andalucía;Ambos sexos;2013;81,49
01 Andalucía;Ambos sexos;2012;80,91
01 Andalucía;Ambos sexos;2011;80,88
01 Andalucía;Ambos sexos;2010;80,76
01 Andalucía;Ambos sexos;2009;80,30
01 Andalucía;Ambos sexos;2008;79,93
01 Andalucía;Ambos sexos;2007;79,66
01 Andalucía;Ambos sexos;2006;79,63
01 Andalucía;Ambos sexos;2005;78,92
01 Andalucía;Ambos sexos;2004;78,89
01 Andalucía;Ambos sexos;2003;78,38
01 Andalucía;Ambos sexos;2002;78,50
01 Andalucía;Ambos sexos;2001;78,46
01 Andalucía;Ambos sexos;2000;78,17
01 Andalucía;Hombres;2021;78,80
01 Andalucía;Hombres;2020;78,86
01 Andalucía;Hombres;2019;79,57
01 Andalucía;Hombres;2018;79,11
01 Andalucía;Hombres;2017;79,23
01 Andalucía;Hombres;2016;79,16
01 Andalucía;Hombres;2015;78,71
01 Andalucía;Hombres;2014;79,00
01 Andalucía;Hombres;2013;78,76
01 Andalucía;Hombres;2012;78,07
01 Andalucía;Hombres;2011;78,08
01 Andalucía;Hombres;2010;77,81
01 Andalucía;Hombres;2009;77,32
01 Andalucía;Hombres;2008;76,93
01 Andalucía;Hombres;2007;76,61
01 Andalucía;Hombres;2006;76,53
01 Andalucía;Hombres;2005;75,71
01 Andalucía;Hombres;2004;75,65
01 Andalucía;Hombres;2003;75,13
01 Andalucía;Hombres;2002;75,21
01 Andalucía;Hombres;2001;75,20
01 Andalucía;Hombres;2000;74,92
01 Andalucía;Mujeres;2021;84,21
01 Andalucía;Mujeres;2020;84,24
01 Andalucía;Mujeres;2019;84,85
01 Andalucía;Mujeres;2018;84,40
01 Andalucía;Mujeres;2017;84,41
01 Andalucía;Mujeres;2016;84,53
01 Andalucía;Mujeres;2015;84,03
01 Andalucía;Mujeres;2014;84,40
01 Andalucía;Mujeres;2013;84,21
01 Andalucía;Mujeres;2012;83,74
01 Andalucía;Mujeres;2011;83,66
01 Andalucía;Mujeres;2010;83,69
01 Andalucía;Mujeres;2009;83,29
01 Andalucía;Mujeres;2008;82,95
01 Andalucía;Mujeres;2007;82,74
01 Andalucía;Mujeres;2006;82,74
01 Andalucía;Mujeres;2005;82,18
01 Andalucía;Mujeres;2004;82,17
01 Andalucía;Mujeres;2003;81,67
01 Andalucía;Mujeres;2002;81,82
01 Andalucía;Mujeres;2001;81,73
01 Andalucía;Mujeres;2000;81,43
02 Aragón;Ambos sexos;2021;83,24
02 Aragón;Ambos sexos;2020;82,39
02 Aragón;Ambos sexos;2019;83,90
02 Aragón;Ambos sexos;2018;83,45
02 Aragón;Ambos sexos;2017;83,23
02 Aragón;Ambos sexos;2016;83,35
02 Aragón;Ambos sexos;2015;82,75
02 Aragón;Ambos sexos;2014;82,86
02 Aragón;Ambos sexos;2013;83,08
02 Aragón;Ambos sexos;2012;82,66
02 Aragón;Ambos sexos;2011;82,33
02 Aragón;Ambos sexos;2010;82,18
02 Aragón;Ambos sexos;2009;81,96
02 Aragón;Ambos sexos;2008;81,84
02 Aragón;Ambos sexos;2007;81,39
02 Aragón;Ambos sexos;2006;81,41
02 Aragón;Ambos sexos;2005;80,63
02 Aragón;Ambos sexos;2004;80,44
02 Aragón;Ambos sexos;2003;80,20
02 Aragón;Ambos sexos;2002;80,38
02 Aragón;Ambos sexos;2001;80,22
02 Aragón;Ambos sexos;2000;79,98
02 Aragón;Hombres;2021;80,55
02 Aragón;Hombres;2020;79,77
02 Aragón;Hombres;2019;81,28
02 Aragón;Hombres;2018;80,69
02 Aragón;Hombres;2017;80,43
02 Aragón;Hombres;2016;80,36
02 Aragón;Hombres;2015;79,93
02 Aragón;Hombres;2014;80,04
02 Aragón;Hombres;2013;80,17
02 Aragón;Hombres;2012;79,90
02 Aragón;Hombres;2011;79,42
02 Aragón;Hombres;2010;79,32
02 Aragón;Hombres;2009;78,98
02 Aragón;Hombres;2008;79,10
02 Aragón;Hombres;2007;78,24
02 Aragón;Hombres;2006;78,43
02 Aragón;Hombres;2005;77,66
02 Aragón;Hombres;2004;77,09
02 Aragón;Hombres;2003;77,26
02 Aragón;Hombres;2002;77,27
02 Aragón;Hombres;2001;77,11
02 Aragón;Hombres;2000;76,62
02 Aragón;Mujeres;2021;85,94
02 Aragón;Mujeres;2020;85,07
02 Aragón;Mujeres;2019;86,48
02 Aragón;Mujeres;2018;86,22
02 Aragón;Mujeres;2017;86,06
02 Aragón;Mujeres;2016;86,39
02 Aragón;Mujeres;2015;85,65
02 Aragón;Mujeres;2014;85,72
02 Aragón;Mujeres;2013;86,02
02 Aragón;Mujeres;2012;85,44
02 Aragón;Mujeres;2011;85,28
02 Aragón;Mujeres;2010;85,09
02 Aragón;Mujeres;2009;85,02
02 Aragón;Mujeres;2008;84,62
02 Aragón;Mujeres;2007;84,66
02 Aragón;Mujeres;2006;84,48
02 Aragón;Mujeres;2005;83,68
02 Aragón;Mujeres;2004;83,94
02 Aragón;Mujeres;2003;83,22
02 Aragón;Mujeres;2002;83,57
02 Aragón;Mujeres;2001;83,41
02 Aragón;Mujeres;2000;83,46
03 Asturias, Principado de;Ambos sexos;2021;82,74
03 Asturias, Principado de;Ambos sexos;2020;82,09
03 Asturias, Principado de;Ambos sexos;2019;82,83
03 Asturias, Principado de;Ambos sexos;2018;82,63
03 Asturias, Principado de;Ambos sexos;2017;82,58
03 Asturias, Principado de;Ambos sexos;2016;82,37
03 Asturias, Principado de;Ambos sexos;2015;82,20
03 Asturias, Principado de;Ambos sexos;2014;82,11
03 Asturias, Principado de;Ambos sexos;2013;82,19
03 Asturias, Principado de;Ambos sexos;2012;81,52
03 Asturias, Principado de;Ambos sexos;2011;81,30
03 Asturias, Principado de;Ambos sexos;2010;81,18
03 Asturias, Principado de;Ambos sexos;2009;81,09
03 Asturias, Principado de;Ambos sexos;2008;80,70
03 Asturias, Principado de;Ambos sexos;2007;80,37
03 Asturias, Principado de;Ambos sexos;2006;80,19
03 Asturias, Principado de;Ambos sexos;2005;79,90
03 Asturias, Principado de;Ambos sexos;2004;79,84
03 Asturias, Principado de;Ambos sexos;2003;79,18
03 Asturias, Principado de;Ambos sexos;2002;79,52
03 Asturias, Principado de;Ambos sexos;2001;79,50
03 Asturias, Principado de;Ambos sexos;2000;78,79
03 Asturias, Principado de;Hombres;2021;80,01
03 Asturias, Principado de;Hombres;2020;79,12
03 Asturias, Principado de;Hombres;2019;79,87
03 Asturias, Principado de;Hombres;2018;79,63
03 Asturias, Principado de;Hombres;2017;79,50
03 Asturias, Principado de;Hombres;2016;79,18
03 Asturias, Principado de;Hombres;2015;79,03
03 Asturias, Principado de;Hombres;2014;78,99
03 Asturias, Principado de;Hombres;2013;78,91
03 Asturias, Principado de;Hombres;2012;78,21
03 Asturias, Principado de;Hombres;2011;77,79
03 Asturias, Principado de;Hombres;2010;77,57
03 Asturias, Principado de;Hombres;2009;77,71
03 Asturias, Principado de;Hombres;2008;77,05
03 Asturias, Principado de;Hombres;2007;76,74
03 Asturias, Principado de;Hombres;2006;76,29
03 Asturias, Principado de;Hombres;2005;76,20
03 Asturias, Principado de;Hombres;2004;76,12
03 Asturias, Principado de;Hombres;2003;75,31
03 Asturias, Principado de;Hombres;2002;75,71
03 Asturias, Principado de;Hombres;2001;75,64
03 Asturias, Principado de;Hombres;2000;74,98
03 Asturias, Principado de;Mujeres;2021;85,30
03 Asturias, Principado de;Mujeres;2020;84,98
03 Asturias, Principado de;Mujeres;2019;85,63
03 Asturias, Principado de;Mujeres;2018;85,49
03 Asturias, Principado de;Mujeres;2017;85,51
03 Asturias, Principado de;Mujeres;2016;85,45
03 Asturias, Principado de;Mujeres;2015;85,26
03 Asturias, Principado de;Mujeres;2014;85,06
03 Asturias, Principado de;Mujeres;2013;85,35
03 Asturias, Principado de;Mujeres;2012;84,72
03 Asturias, Principado de;Mujeres;2011;84,74
03 Asturias, Principado de;Mujeres;2010;84,73
03 Asturias, Principado de;Mujeres;2009;84,37
03 Asturias, Principado de;Mujeres;2008;84,32
03 Asturias, Principado de;Mujeres;2007;83,95
03 Asturias, Principado de;Mujeres;2006;84,06
03 Asturias, Principado de;Mujeres;2005;83,57
03 Asturias, Principado de;Mujeres;2004;83,51
03 Asturias, Principado de;Mujeres;2003;83,05
03 Asturias, Principado de;Mujeres;2002;83,31
03 Asturias, Principado de;Mujeres;2001;83,34
03 Asturias, Principado de;Mujeres;2000;82,58
04 Balears, Illes;Ambos sexos;2021;83,36
04 Balears, Illes;Ambos sexos;2020;83,46
04 Balears, Illes;Ambos sexos;2019;83,71
04 Balears, Illes;Ambos sexos;2018;83,23
04 Balears, Illes;Ambos sexos;2017;82,90
04 Balears, Illes;Ambos sexos;2016;83,03
04 Balears, Illes;Ambos sexos;2015;82,42
04 Balears, Illes;Ambos sexos;2014;82,70
04 Balears, Illes;Ambos sexos;2013;82,62
04 Balears, Illes;Ambos sexos;2012;81,87
04 Balears, Illes;Ambos sexos;2011;81,93
04 Balears, Illes;Ambos sexos;2010;81,56
04 Balears, Illes;Ambos sexos;2009;81,15
04 Balears, Illes;Ambos sexos;2008;81,19
04 Balears, Illes;Ambos sexos;2007;81,26
04 Balears, Illes;Ambos sexos;2006;80,85
04 Balears, Illes;Ambos sexos;2005;80,33
04 Balears, Illes;Ambos sexos;2004;80,27
04 Balears, Illes;Ambos sexos;2003;79,78
